Apoptosis_Duration,Apoptosis_Leak_Rate,Replicate,Strain,Alive_Cells,Total_Cells,Survivability_Pct,Total_Live_Biomass
4.0,0.9,6,PCD-,0,5056,0.0,0.0
4.0,0.9,7,PCD+,0,3711,0.0,0.0
4.0,0.9,7,PCD-,0,5051,0.0,0.0
4.0,0.9,8,PCD+,0,3861,0.0,0.0
4.0,0.9,8,PCD-,0,5016,0.0,0.0
4.0,0.9,9,PCD+,0,3769,0.0,0.0
4.0,0.9,9,PCD-,0,4838,0.0,0.0
4.0,0.9,10,PCD+,0,3807,0.0,0.0
4.0,0.9,10,PCD-,0,5084,0.0,0.0
8.0,0.1,1,PCD+,0,3943,0.0,0.0
8.0,0.1,1,PCD-,0,5126,0.0,0.0
8.0,0.1,2,PCD+,0,3788,0.0,0.0
8.0,0.1,2,PCD-,0,5044,0.0,0.0
8.0,0.1,3,PCD+,0,3662,0.0,0.0
8.0,0.1,3,PCD-,0,4770,0.0,0.0
8.0,0.1,4,PCD+,0,3735,0.0,0.0
8.0,0.1,4,PCD-,0,4760,0.0,0.0
8.0,0.1,5,PCD+,0,3880,0.0,0.0
8.0,0.1,5,PCD-,0,4965,0.0,0.0
8.0,0.1,6,PCD+,0,3836,0.0,0.0
8.0,0.1,6,PCD-,0,5062,0.0,0.0
8.0,0.1,7,PCD+,0,3784,0.0,0.0
8.0,0.1,7,PCD-,0,4935,0.0,0.0
8.0,0.1,8,PCD+,0,3845,0.0,0.0
8.0,0.1,8,PCD-,0,5056,0.0,0.0
8.0,0.1,9,PCD+,0,3892,0.0,0.0
8.0,0.1,9,PCD-,0,4847,0.0,0.0
8.0,0.1,10,PCD+,0,3812,0.0,0.0
8.0,0.1,10,PCD-,0,5097,0.0,0.0
8.0,0.5,1,PCD+,0,3841,0.0,0.0
8.0,0.5,1,PCD-,0,5168,0.0,0.0
8.0,0.5,2,PCD+,0,3766,0.0,0.0
8.0,0.5,2,PCD-,0,5093,0.0,0.0
8.0,0.5,3,PCD+,0,3556,0.0,0.0
8.0,0.5,3,PCD-,0,5038,0.0,0.0
8.0,0.5,4,PCD+,0,3851,0.0,0.0
8.0,0.5,4,PCD-,0,4638,0.0,0.0
8.0,0.5,5,PCD+,0,3939,0.0,0.0
8.0,0.5,5,PCD-,0,5140,0.0,0.0
8.0,0.5,6,PCD+,0,3901,0.0,0.0
8.0,0.5,6,PCD-,0,5091,0.0,0.0
8.0,0.5,7,PCD+,0,3780,0.0,0.0
8.0,0.5,7,PCD-,0,5056,0.0,0.0
8.0,0.5,8,PCD+,0,3826,0.0,0.0
8.0,0.5,8,PCD-,0,5326,0.0,0.0
8.0,0.5,9,PCD+,0,3869,0.0,0.0
8.0,0.5,9,PCD-,0,5177,0.0,0.0
8.0,0.5,10,PCD+,0,3839,0.0,0.0
8.0,0.5,10,PCD-,0,5003,0.0,0.0
8.0,0.9,1,PCD+,0,3962,0.0,0.0
8.0,0.9,1,PCD-,0,5129,0.0,0.0
8.0,0.9,2,PCD+,0,3938,0.0,0.0
8.0,0.9,2,PCD-,0,5036,0.0,0.0
8.0,0.9,3,PCD+,0,3752,0.0,0.0
8.0,0.9,3,PCD-,0,4977,0.0,0.0
8.0,0.9,4,PCD+,0,3844,0.0,0.0
8.0,0.9,4,PCD-,0,5151,0.0,0.0
8.0,0.9,5,PCD+,0,3878,0.0,0.0
8.0,0.9,5,PCD-,0,4715,0.0,0.0
8.0,0.9,6,PCD+,0,3849,0.0,0.0
8.0,0.9,6,PCD-,0,5071,0.0,0.0
8.0,0.9,7,PCD+,0,3907,0.0,0.0
8.0,0.9,7,PCD-,0,4470,0.0,0.0
8.0,0.9,8,PCD+,0,3738,0.0,0.0
8.0,0.9,8,PCD-,0,5038,0.0,0.0
8.0,0.9,9,PCD+,0,3664,0.0,0.0
8.0,0.9,9,PCD-,0,5045,0.0,0.0
8.0,0.9,10,PCD+,0,3864,0.0,0.0
8.0,0.9,10,PCD-,0,5101,0.0,0.0
